Date;greenpeace.org;amnesty.org;peta.org;redcross.org;unicef.org
02.08.14;129;119;131;180;214
03.08.14;129;149;138;190;167
04.08.14;140;103;133;203;150
05.08.14;145;107;123;204;133
06.08.14;151;106;103;203;133
07.08.14;155;117;93;193;162
08.08.14;159;156;110;176;164
09.08.14;161;180;141;153;178
10.08.14;168;193;138;129;139
11.08.14;171;206;136;123;160
12.08.14;174;233;136;88;204
13.08.14;176;253;146;87;247
14.08.14;181;270;144;93;260
15.08.14;180;272;159;117;193
16.08.14;173;262;165;160;140
17.08.14;165;232;155;178;115
18.08.14;160;208;148;193;116
19.08.14;158;162;145;196;84
20.08.14;151;135;133;199;120
21.08.14;148;89;120;196;191
22.08.14;139;57;111;191;239
23.08.14;132;54;124;190;271
24.08.14;127;108;130;190;262
25.08.14;126;112;129;172;183
26.08.14;125;216;150;165;100
27.08.14;123;152;165;150;92
28.08.14;125;145;174;157;174
29.08.14;125;171;156;176;161
30.08.14;129;210;127;182;155
31.08.14;130;267;106;201;148
01.09.14;136;294;100;190;128
02.09.14;133;320;108;188;129
03.09.14;134;357;121;173;117
04.09.14;133;367;117;169;127
05.09.14;133;366;131;183;133
06.09.14;139;361;136;176;168
07.09.14;143;331;148;178;186
08.09.14;142;312;169;164;232
09.09.14;145;285;191;142;247
10.09.14;143;272;178;135;222
11.09.14;146;232;163;118;198
12.09.14;146;174;145;130;198
13.09.14;152;141;137;125;173
14.09.14;150;131;129;122;163
15.09.14;152;163;129;128;169
16.09.14;154;245;129;128;167
17.09.14;153;174;119;135;118
18.09.14;153;162;114;153;130
19.09.14;156;140;122;145;196
20.09.14;155;126;120;150;219
21.09.14;155;128;128;152;230
22.09.14;155;135;110;142;219
23.09.14;161;136;111;137;198
24.09.14;156;137;126;113;166
25.09.14;157;144;131;103;158
26.09.14;155;164;135;99;170
27.09.14;156;171;133;108;137
28.09.14;155;183;129;116;118
29.09.14;150;185;113;127;111
30.09.14;151;179;104;158;110
01.10.14;147;182;121;171;126
02.10.14;148;168;116;230;130
03.10.14;147;161;130;261;143
04.10.14;143;158;138;312;150
05.10.14;141;155;137;343;157
06.10.14;135;147;143;372;161
07.10.14;134;142;146;388;143
08.10.14;134;138;156;385;148
09.10.14;139;129;156;380;141
10.10.14;134;137;154;388;121
11.10.14;135;156;144;380;131
12.10.14;133;169;140;365;130
